Knowledge statement,Subject,Key stage,Year group,Broad topic,Specific topic,Document,page,introduction,examples,glossary,appendix,purpose of study,aims,attainment targets,statutory guidance,non-statutory guidance,digital literacy (AI),financial literacy (AI),media literacy (AI),oracy (AI),climate and sustainability (AI),digital literacy (SL),financial literacy (SL),media literacy (SL),oracy (SL),climate and sustSLnability (SL)
"one thematic study involving the study of people, events and developments drawn from all three eras defined above. Where appropriate, it may also draw on earlier times",History,Key stage 4,,,Required studies,History,5,,,,,,,,Y,,,,,,,,,,,
"While some overlap is likely, the thematic study must differ significantly in focus from the people, issues and events covered in the depth and period studies.",History,Key stage 4,,,Required studies,History,5,,,,,,,,Y,,,,,,,,,,,
"GCSE specifications should, through these studies, require students to develop and demonstrate: knowledge and understanding of the key features and characteristics of the periods studied: the chronology, individuals, events, developments and issues in the specified content",History,Key stage 4,,"Historical knowledge, understanding and method",,History,6,,,,,,,,Y,,,,,,,,,,,
"GCSE specifications should, through these studies, require students to develop and demonstrate: understanding and appropriate use in context of historical terms including first order historical concepts such as 'constitution', 'nation', 'revolution', 'society'",History,Key stage 4,,"Historical knowledge, understanding and method",,History,6,,,,,,,,Y,,,,,,,,,,,
"GCSE specifications should, through these studies, require students to develop and demonstrate: the ability to create their own structured accounts, selecting organising and communicating their knowledge and understanding in written narratives, descriptions and analyses, reaching substantiated conclusions when appropriate",History,Key stage 4,,"Historical knowledge, understanding and method",,History,6,,,,,,,,Y,,,,,Y,,,,,Y,
"GCSE specifications should, through these studies, require students to develop and demonstrate: understanding of the key features and characteristics of the periods studied in relation to second order historical concepts of continuity, change, cause, consequence, significance and similarity and difference within situations",History,Key stage 4,,"Historical knowledge, understanding and method",,History,6,,,,,,,,Y,,,,,,,,,,,
"GCSE specifications should, through these studies, require students to develop and demonstrate: understanding of the relationships between different aspects within the periods studied, making connections, drawing contrasts and analysing trends. Examples of the related aspects include all or some of the following examples: between local, regional, national and international history; between cultural, economic, social, political, religious and military history; and between short and long term timescales",History,Key stage 4,,"Historical knowledge, understanding and method",,History,6,,,,,,,,Y,,,,,,,,,,,
"GCSE specifications should, through these studies, require students to develop and demonstrate: the ability to understand and use critically and constructively a range of contemporary source material appropriate to the period (including written historical sources whose precise provenance is given) to frame their own valid historical questions and make their own valid historical claims",History,Key stage 4,,"Historical knowledge, understanding and method",,History,6,,,,,,,,Y,,,,Y,,,,,Y,,
"GCSE specifications should, through these studies, require students to develop and demonstrate: understanding of how evidence is used rigorously to make historical claims, discerning how and why different interpretations of the past have been constructed",History,Key stage 4,,"Historical knowledge, understanding and method",,History,6,,,,,,,,Y,,,,Y,,,,,Y,,
"The GCSE subject content sets out the knowledge, understanding and skills common to all GCSE specifications in a given subject. Together with the assessment objectives it provides the framework within which awarding organisations create the detail of their specifications, so ensuring progression from key stage 3 national curriculum requirements and the possibilities for development into A level.",Geography,Key stage 4,,,,Geography,3,Y,,,,,,,,Y,,,,,,,,,,
"GCSE specifications for the discipline of geography should provide the opportunity for students to understand more about the world, the challenges it faces and their place within it. The GCSE course will deepen understanding of geographical processes, illuminate the impact of change and of complex people-environment interactions, highlight the dynamic links and interrelationships between places and environments at different scales, and develop students' competence in using a wide range of geographical investigative skills and approaches. Geography enables young people to become globally and environmentally informed and thoughtful, enquiring citizens.",Geography,Key stage 4,,,,Geography,3,Y,,,,,Y,,,,,,,,Y,,,,,Y
"GCSE specifications in geography should enable students to build on their key stage 3 knowledge and skills to: develop and extend their knowledge of locations, places, environments and processes, and of different scales including global; and of social, political and cultural contexts (know geographical material)",Geography,Key stage 4,,,,Geography,3,Y,,,,,Y,,,,,,,,,,,,,
"GCSE specifications in geography should enable students to build on their key stage 3 knowledge and skills to: gain understanding of the interactions between people and environments, change in places and processes over space and time, and the interrelationship between geographical phenomena at different scales and in different contexts (think like a geographer)",Geography,Key stage 4,,,,Geography,3,Y,,,,,Y,,,,,,,,Y,,,,,Y
"GCSE specifications in geography should enable students to build on their key stage 3 knowledge and skills to: develop and extend their competence in a range of skills including those used in fieldwork, in using maps and Geographical Information Systems (GIS) and in researching secondary evidence, including digital sources; and develop their competence in applying sound enquiry and investigative approaches to questions and hypotheses (study like a geographer)",Geography,Key stage 4,,,,Geography,3,Y,,,,,Y,,,,Y,,,,,Y,,,,
